PREF,PROV
004191,CO
010,GE
011,TO
0121,TO
0122,TO
0123,TO
0124,TO
0125,TO
0131,AL
0141,AT
0142,AL
0143,AL
0144,AL
015,BI
0161,VC
0163,VC
0165,AO
0166,AO
0171,CN
0172,CN
0173,CN
0174,CN
0175,CN
0182,SV
0183,IM
0184,IM
0185,GE
0187,SP
019,SV
02,MI
030,BS
031,CO
0321,NO
0322,NO
0323,VB
0324,VB
0331,VA
0332,VA
0341,LC
0342,SO
0343,SO
0344,CO
0345,BG
0346,BG
035,BG
0362,MB
0363,BG
0364,BS
0365,BS
0371,LO
0372,CR
0373,CR
0374,CR
0375,MN
0376,MN
0377,LO
0381,PV
0382,PV
0383,PV
0384,PV
0385,PV
0386,MN
039,MB
040,TS
041,VE
0421,VE
0422,TV
0423,TV
0424,VI
0425,RO
0426,RO
0427,PN
0428,UD
0429,PD
0431,UD
0432,UD
0433,UD
0434,PN
0435,BL
0436,BL
0437,BL
0438,TV
0439,BL
0442,VR
0444,VI
0445,VI
045,VR
0461,TN
0462,TN
0463,TN
0464,TN
0465,TN
0471,BZ
0472,BZ
0473,BZ
0474,BZ
0481,GO
049,PD
050,PI
051,BO
0521,PR
0522,RE
0523,PC
0524,PR
0525,PR
0532,FE
0533,FE
0534,BO
0535,MO
0536,MO
0541,RN
0542,BO
0543,FC
0544,RA
0545,RA
0546,RA
0547,FC
055,FI
0564,GR
0565,LI
0566,GR
0571,FI
0572,PT
0573,PT
0574,PO
0575,AR
0577,SI
0578,SI
0583,LU
0584,LU
0585,MS
0586,LI
0587,PI
0588,PI
059,MO
06,RM
070,CA
071,AN
0721,PU
0722,PU
0731,AN
0732,AN
0733,MC
0734,FM
0735,AP
0736,AP
0737,MC
0742,PG
0743,PG
0744,TR
0746,RI
075,PG
0761,VT
0763,TR
0765,RI
0766,RM
0771,LT
0773,LT
0774,RM
0775,FR
0776,FR
0781,CI
0782,OG
0783,OR
0784,NU
0785,NU
0789,OT
079,SS
080,BA
081,NA
0823,CE
0824,BN
0825,AV
0827,AV
0828,SA
0831,BR
0832,LE
0833,LE
0835,MT
0836,LE
085,PE
0861,TE
0862,AQ
0863,AQ
0864,AQ
0865,IS
0871,CH
0872,CH
0873,CH
0874,CB
0875,CB
0881,FG
0882,FG
0883,BT
0884,FG
0885,FG
089,SA
090,ME
091,PA
0921,PA
0922,AG
0923,TP
0924,TP
0925,AG
0931,SR
0932,RG
0933,CL
0934,CL
0935,EN
0941,ME
0942,ME
095,CT
0961,CZ
0962,KR
0963,VV
0964,RC
0965,RC
0966,RC
0967,CZ
0968,CZ
0971,PZ
0972,PZ
0973,PZ
0974,SA
0975,SA
0976,PZ
0981,CS
0982,CS
0983,CS
0984,CS
0985,CS
099,TA
351,ILIAD
352,ILIAD
330,TIM
331,TIM
333,TIM
334,TIM
335,TIM
336,TIM
337,TIM
338,TIM
339,TIM
360,TIM
366,TIM
368,TIM
340,VODAFONE
342,VODAFONE
344,VODAFONE
345,VODAFONE
346,VODAFONE
347,VODAFONE
348,VODAFONE
349,VODAFONE
320,WIND
324,WIND
328,WIND
329,WIND
380,WIND
388,WIND
389,WIND
391,TRE
392,TRE
393,TRE
377,MVNO
379,MVNO
353,MVNO
370,MVNO
373,MVNO
375,MVNO
379,MVNO
350,MVNO
351,MVNO
378,MVNO
376,MVNO
371,MVNO
